'Elapsed time','PCG'
'hh:mm:ss.mmm','mV'
'0:00.000',-69.000
'0:00.001',-135.000
'0:00.001',-104.000
'0:00.002',-25.000
'0:00.002',-63.000
'0:00.003',-3.000
'0:00.003',30.000
'0:00.004',-22.000
'0:00.004',26.000
'0:00.005',77.000
'0:00.005',144.000
'0:00.006',139.000
'0:00.006',157.000
'0:00.007',251.000
'0:00.007',211.000
'0:00.008',300.000
'0:00.008',256.000
'0:00.009',317.000
'0:00.009',417.000
'0:00.010',419.000
'0:00.010',470.000
'0:00.011',455.000
'0:00.011',491.000
'0:00.012',498.000
'0:00.012',578.000
'0:00.013',570.000
'0:00.013',550.000
'0:00.014',633.000
'0:00.014',648.000
'0:00.015',689.000
'0:00.015',704.000
'0:00.016',673.000
'0:00.016',770.000
'0:00.017',769.000
'0:00.017',782.000
'0:00.018',738.000
'0:00.018',755.000
'0:00.019',758.000
'0:00.019',762.000
'0:00.020',730.000
'0:00.020',686.000
'0:00.021',655.000
'0:00.021',657.000
'0:00.022',643.000
'0:00.022',576.000
'0:00.023',523.000
'0:00.023',531.000
'0:00.024',479.000
'0:00.024',469.000
'0:00.025',500.000
'0:00.025',388.000
'0:00.026',433.000
'0:00.026',399.000
'0:00.027',332.000
'0:00.027',332.000
'0:00.028',338.000
'0:00.028',280.000
'0:00.029',239.000
'0:00.029',223.000
'0:00.030',80.000
'0:00.030',85.000
'0:00.031',29.000
'0:00.031',-15.000
'0:00.032',-21.000
'0:00.032',-120.000
'0:00.033',-110.000
'0:00.033',-204.000
'0:00.034',-214.000
'0:00.034',-192.000
'0:00.035',-266.000
'0:00.035',-221.000
'0:00.036',-233.000
'0:00.036',-327.000
'0:00.037',-340.000
'0:00.037',-347.000
'0:00.038',-402.000
'0:00.038',-410.000
'0:00.039',-452.000
'0:00.039',-494.000
'0:00.040',-472.000
'0:00.040',-506.000
'0:00.041',-596.000
'0:00.041',-530.000
'0:00.042',-660.000
'0:00.042',-681.000
'0:00.043',-701.000
'0:00.043',-757.000
'0:00.044',-804.000
'0:00.044',-865.000
'0:00.045',-841.000
'0:00.045',-845.000
'0:00.046',-852.000
'0:00.046',-807.000
'0:00.047',-762.000
'0:00.047',-748.000
'0:00.048',-736.000
'0:00.048',-678.000
'0:00.049',-640.000
'0:00.049',-596.000
'0:00.050',-560.000
'0:00.050',-551.000
'0:00.051',-517.000
'0:00.051',-536.000
'0:00.052',-448.000
'0:00.052',-408.000
'0:00.053',-411.000
'0:00.053',-359.000
'0:00.054',-379.000
'0:00.054',-348.000
'0:00.055',-358.000
'0:00.055',-356.000
'0:00.056',-354.000
'0:00.056',-376.000
'0:00.057',-266.000
'0:00.057',-289.000
'0:00.058',-233.000
'0:00.058',-167.000
'0:00.059',-165.000
'0:00.059',-119.000
'0:00.060',-172.000
'0:00.060',-119.000
'0:00.061',-100.000
'0:00.061',-58.000
'0:00.062',32.000
'0:00.062',63.000
'0:00.063',88.000
'0:00.063',100.000
'0:00.064',149.000
'0:00.064',161.000
'0:00.065',192.000
'0:00.065',272.000
'0:00.066',247.000
'0:00.066',370.000
'0:00.067',299.000
'0:00.067',368.000
'0:00.068',416.000
'0:00.068',367.000
'0:00.069',367.000
'0:00.069',373.000
'0:00.070',400.000
'0:00.070',364.000
'0:00.071',394.000
'0:00.071',373.000
'0:00.072',336.000
'0:00.072',380.000
'0:00.073',303.000
'0:00.073',290.000
'0:00.074',299.000
'0:00.074',289.000
'0:00.075',342.000
'0:00.075',284.000
'0:00.076',326.000
'0:00.076',301.000
'0:00.077',272.000
'0:00.077',291.000
'0:00.078',253.000
'0:00.078',301.000
'0:00.079',313.000
'0:00.079',333.000
'0:00.080',302.000
'0:00.080',302.000
'0:00.081',300.000
'0:00.081',277.000
'0:00.082',284.000
'0:00.082',240.000
'0:00.083',212.000
'0:00.083',188.000
'0:00.084',164.000
'0:00.084',212.000
'0:00.085',211.000
'0:00.085',250.000
'0:00.086',319.000
'0:00.086',371.000
'0:00.087',400.000
'0:00.087',404.000
'0:00.088',464.000
'0:00.088',461.000
'0:00.089',480.000
'0:00.089',443.000
'0:00.090',402.000
'0:00.090',381.000
'0:00.091',291.000
'0:00.091',347.000
'0:00.092',209.000
'0:00.092',182.000
'0:00.093',166.000
'0:00.093',130.000
'0:00.094',162.000
'0:00.094',150.000
'0:00.095',140.000
'0:00.095',129.000
'0:00.096',84.000
'0:00.096',106.000
'0:00.097',82.000
'0:00.097',104.000
'0:00.098',76.000
'0:00.098',57.000
'0:00.099',89.000
'0:00.099',-3.000
'0:00.100',-11.000
'0:00.100',-76.000
'0:00.101',-83.000
'0:00.101',-116.000
'0:00.102',-194.000
'0:00.102',-249.000
'0:00.103',-308.000
'0:00.103',-340.000
'0:00.104',-355.000
'0:00.104',-415.000
'0:00.105',-456.000
'0:00.105',-486.000
'0:00.106',-488.000
'0:00.106',-563.000
'0:00.107',-555.000
'0:00.107',-640.000
'0:00.108',-628.000
'0:00.108',-638.000
'0:00.109',-673.000
'0:00.109',-646.000
'0:00.110',-574.000
'0:00.110',-911.000
'0:00.111',-901.000
'0:00.111',-368.000
'0:00.112',-355.000
'0:00.112',-343.000
'0:00.113',-345.000
'0:00.113',-285.000
'0:00.114',-266.000
'0:00.114',-290.000
'0:00.115',-358.000
'0:00.115',-308.000
'0:00.116',-358.000
'0:00.116',-277.000
'0:00.117',-309.000
'0:00.117',-290.000
'0:00.118',-189.000
'0:00.118',-257.000
'0:00.119',-241.000
'0:00.119',-208.000
'0:00.120',-200.000
'0:00.120',-132.000
'0:00.121',-208.000
'0:00.121',-182.000
'0:00.122',-100.000
'0:00.122',-79.000
'0:00.123',-72.000
'0:00.123',-54.000
'0:00.124',22.000
'0:00.124',8.000
'0:00.125',113.000
'0:00.125',114.000
'0:00.126',123.000
'0:00.126',200.000
'0:00.127',204.000
'0:00.127',207.000
'0:00.128',243.000
'0:00.128',262.000
'0:00.129',234.000
'0:00.129',209.000
'0:00.130',258.000
'0:00.130',225.000
'0:00.131',227.000
'0:00.131',200.000
'0:00.132',217.000
'0:00.132',197.000
'0:00.133',188.000
'0:00.133',209.000
'0:00.134',159.000
'0:00.134',217.000
'0:00.135',154.000
'0:00.135',181.000
'0:00.136',169.000
'0:00.136',174.000
'0:00.137',153.000
'0:00.137',238.000
'0:00.138',232.000
'0:00.138',228.000
'0:00.139',261.000
'0:00.139',299.000
'0:00.140',241.000
'0:00.140',333.000
'0:00.141',280.000
'0:00.141',229.000
'0:00.142',256.000
'0:00.142',221.000
'0:00.143',193.000
'0:00.143',194.000
'0:00.144',155.000
'0:00.144',118.000
'0:00.145',84.000
'0:00.145',49.000
'0:00.146',71.000
'0:00.146',48.000
'0:00.147',55.000
'0:00.147',37.000
'0:00.148',21.000
'0:00.148',12.000
'0:00.149',21.000
'0:00.149',-15.000
'0:00.150',-22.000
'0:00.150',-69.000
'0:00.151',0.000
'0:00.151',-24.000
'0:00.152',-22.000
'0:00.152',-45.000
'0:00.153',18.000
'0:00.153',11.000
'0:00.154',0.000
'0:00.154',17.000
'0:00.155',36.000
'0:00.155',66.000
'0:00.156',104.000
'0:00.156',112.000
'0:00.157',186.000
'0:00.157',182.000
'0:00.158',144.000
'0:00.158',203.000
'0:00.159',216.000
'0:00.159',220.000
'0:00.160',209.000
'0:00.160',162.000
'0:00.161',224.000
'0:00.161',185.000
'0:00.162',145.000
'0:00.162',128.000
'0:00.163',112.000
'0:00.163',195.000
'0:00.164',121.000
'0:00.164',103.000
'0:00.165',79.000
'0:00.165',76.000
'0:00.166',18.000
'0:00.166',10.000
'0:00.167',-20.000
'0:00.167',-104.000
'0:00.168',-73.000
'0:00.168',-106.000
'0:00.169',-167.000
'0:00.169',-217.000
'0:00.170',-268.000
'0:00.170',-271.000
'0:00.171',-331.000
'0:00.171',-305.000
'0:00.172',-382.000
'0:00.172',-382.000
'0:00.173',-343.000
'0:00.173',-380.000
'0:00.174',-337.000
'0:00.174',-348.000
'0:00.175',-310.000
'0:00.175',-328.000
'0:00.176',-307.000
'0:00.176',-286.000
'0:00.177',-286.000
'0:00.177',-229.000
'0:00.178',-213.000
'0:00.178',-185.000
'0:00.179',-74.000
'0:00.179',-77.000
'0:00.180',-10.000
'0:00.180',-2.000
'0:00.181',72.000
'0:00.181',113.000
'0:00.182',197.000
'0:00.182',221.000
'0:00.183',234.000
'0:00.183',278.000
'0:00.184',319.000
'0:00.184',364.000
'0:00.185',383.000
'0:00.185',398.000
'0:00.186',417.000
'0:00.186',453.000
'0:00.187',416.000
'0:00.187',464.000
'0:00.188',424.000
'0:00.188',451.000
'0:00.189',452.000
'0:00.189',450.000
'0:00.190',430.000
'0:00.190',432.000
'0:00.191',412.000
'0:00.191',431.000
'0:00.192',432.000
'0:00.192',396.000
'0:00.193',394.000
'0:00.193',367.000
'0:00.194',332.000
'0:00.194',349.000
'0:00.195',298.000
'0:00.195',329.000
'0:00.196',324.000
'0:00.196',278.000
'0:00.197',259.000
'0:00.197',192.000
'0:00.198',195.000
'0:00.198',154.000
'0:00.199',150.000
'0:00.199',133.000
'0:00.200',85.000
'0:00.200',59.000
'0:00.201',14.000
'0:00.201',-46.000
'0:00.202',-15.000
'0:00.202',-57.000
'0:00.203',-103.000
'0:00.203',-88.000
'0:00.204',-153.000
'0:00.204',-171.000
'0:00.205',-167.000
'0:00.205',-213.000
'0:00.206',-284.000
'0:00.206',-324.000
'0:00.207',-338.000
'0:00.207',-361.000
'0:00.208',-430.000
'0:00.208',-479.000
'0:00.209',-445.000
'0:00.209',-473.000
'0:00.210',-460.000
'0:00.210',-478.000
'0:00.211',-521.000
'0:00.211',-521.000
'0:00.212',-543.000
'0:00.212',-529.000
'0:00.213',-500.000
'0:00.213',-492.000
'0:00.214',-500.000
'0:00.214',-473.000
'0:00.215',-502.000
'0:00.215',-483.000
'0:00.216',-478.000
'0:00.216',-481.000
'0:00.217',-474.000
'0:00.217',-421.000
'0:00.218',-463.000
'0:00.218',-439.000
'0:00.219',-488.000
'0:00.219',-478.000
'0:00.220',-471.000
'0:00.220',-463.000
'0:00.221',-496.000
'0:00.221',-464.000
'0:00.222',-504.000
'0:00.222',-542.000
'0:00.223',-529.000
'0:00.223',-566.000
'0:00.224',-606.000
'0:00.224',-604.000
'0:00.225',-577.000
'0:00.225',-582.000
'0:00.226',-564.000
'0:00.226',-579.000
'0:00.227',-516.000
'0:00.227',-576.000
'0:00.228',-531.000
'0:00.228',-501.000
'0:00.229',-496.000
'0:00.229',-427.000
'0:00.230',-379.000
'0:00.230',-362.000
'0:00.231',-304.000
'0:00.231',-236.000
'0:00.232',-203.000
'0:00.232',-150.000
'0:00.233',-81.000
'0:00.233',-34.000
'0:00.234',17.000
'0:00.234',101.000
'0:00.235',189.000
'0:00.235',258.000
'0:00.236',351.000
'0:00.236',406.000
'0:00.237',463.000
'0:00.237',572.000
'0:00.238',578.000
'0:00.238',667.000
'0:00.239',709.000
'0:00.239',732.000
'0:00.240',798.000
'0:00.240',797.000
'0:00.241',824.000
'0:00.241',796.000
'0:00.242',797.000
'0:00.242',770.000
'0:00.243',754.000
'0:00.243',773.000
'0:00.244',770.000
'0:00.244',730.000
'0:00.245',753.000
'0:00.245',714.000
'0:00.246',725.000
'0:00.246',706.000
'0:00.247',717.000
'0:00.247',730.000
'0:00.248',736.000
'0:00.248',706.000
'0:00.249',735.000
'0:00.249',677.000
'0:00.250',660.000
'0:00.250',602.000
'0:00.251',558.000
'0:00.251',525.000
'0:00.252',478.000
'0:00.252',453.000
'0:00.253',398.000
'0:00.253',366.000
'0:00.254',283.000
'0:00.254',271.000
'0:00.255',204.000
'0:00.255',193.000
'0:00.256',192.000
'0:00.256',186.000
'0:00.257',157.000
'0:00.257',157.000
'0:00.258',126.000
'0:00.258',37.000
'0:00.259',68.000
'0:00.259',34.000
'0:00.260',-4.000
'0:00.260',3.000
'0:00.261',-60.000
'0:00.261',-58.000
'0:00.262',-66.000
'0:00.262',-100.000
'0:00.263',-108.000
'0:00.263',-115.000
'0:00.264',-123.000
'0:00.264',-158.000
'0:00.265',-119.000
'0:00.265',-177.000
'0:00.266',-188.000
'0:00.266',-140.000
'0:00.267',-219.000
'0:00.267',-197.000
'0:00.268',-234.000
'0:00.268',-247.000
'0:00.269',-279.000
'0:00.269',-339.000
'0:00.270',-306.000
'0:00.270',-354.000
'0:00.271',-401.000
'0:00.271',-396.000
'0:00.272',-425.000
'0:00.272',-422.000
'0:00.273',-466.000
'0:00.273',-475.000
'0:00.274',-494.000
'0:00.274',-441.000
'0:00.275',-437.000
'0:00.275',-433.000
'0:00.276',-379.000
'0:00.276',-444.000
'0:00.277',-397.000
'0:00.277',-397.000
'0:00.278',-427.000
'0:00.278',-413.000
'0:00.279',-487.000
'0:00.279',-475.000
'0:00.280',-490.000
'0:00.280',-491.000
'0:00.281',-480.000
'0:00.281',-510.000
'0:00.282',-538.000
'0:00.282',-559.000
'0:00.283',-480.000
'0:00.283',-517.000
'0:00.284',-513.000
'0:00.284',-422.000
'0:00.285',-473.000
'0:00.285',-417.000
'0:00.286',-487.000
'0:00.286',-407.000
'0:00.287',-418.000
'0:00.287',-387.000
'0:00.288',-374.000
'0:00.288',-405.000
'0:00.289',-384.000
'0:00.289',-347.000
'0:00.290',-318.000
'0:00.290',-267.000
'0:00.291',-273.000
'0:00.291',-231.000
'0:00.292',-235.000
'0:00.292',-171.000
'0:00.293',-153.000
'0:00.293',-148.000
'0:00.294',-108.000
'0:00.294',-43.000
'0:00.295',24.000
'0:00.295',77.000
'0:00.296',128.000
'0:00.296',189.000
'0:00.297',292.000
'0:00.297',348.000
'0:00.298',437.000
'0:00.298',566.000
'0:00.299',611.000
'0:00.299',694.000
'0:00.300',809.000
'0:00.300',907.000
'0:00.301',983.000
'0:00.301',976.000
'0:00.302',1043.000
'0:00.302',1023.000
'0:00.303',1002.000
'0:00.303',966.000
'0:00.304',931.000
'0:00.304',897.000
'0:00.305',858.000
'0:00.305',772.000
'0:00.306',736.000
'0:00.306',701.000
'0:00.307',657.000
'0:00.307',670.000
